FID,OBJECTID,Neighbourh,Shape_Leng,Shape_Area
1,1,Fredericton South,40412.2767429,32431889.0002
2,2,Brookside,22010.6310662,10443583.6598
3,3,Douglas,13604.8295901,3231456.43387
4,4,McLeod Hill,7799.8913456,3158652.31458
5,5,Marysville,22550.5108321,14119440.4201
6,6,Saint Mary's First Nation,12367.6186214,1851435.17248
7,7,Sandyville,3175.42006454,728859.481001
8,8,Knob Hill,2975.93648453,545023.145753
9,9,Youngs Crossing,4096.23972232,748490.083125
10,10,Barkers Point,12319.2390494,5779021.9684
11,11,South Devon,7884.96670743,2525293.75135
12,12,Cotton Mill Creek,3120.78320227,639879.094018
13,13,Nashwaaksis,14030.4194955,5928964.11595
14,14,West Hills,3364.54733035,597303.890472
15,15,Northbrook Heights,3076.06755912,612702.286957
16,16,Brookside Mini Home Park,3022.9756433,575188.034377
17,17,Heron Springs,3800.94598928,965131.000321
18,18,Royal Road,7674.82265533,2196827.42758
19,19,Fulton Heights,5586.07897187,2008699.24901
20,20,Main Street,5545.89315798,1294582.17444
21,21,Regiment Creek,1375.0326503,123632.126894
22,22,Gilridge Estates,2095.7760348,271739.672744
23,23,Silverwood,11312.7886099,2504940.08666
24,24,Springhill,7231.31169364,1510234.56234
25,25,Nethervue Minihome Park,1590.47202117,165522.276049
26,26,Monteith / Talisman,3851.32031432,593547.51394
27,27,Garden Creek,3442.46967165,565655.541484
28,28,Highpoint Ridge,3668.71313161,724247.89727
29,29,Greenwood Minihome Park,1699.64716122,152539.487965
30,30,Golf Club,4814.85959571,597574.69301
31,31,Kelly's Court Minihome Park,2713.09270353,375660.207335
32,32,Woodstock Road,5048.43749003,758336.838787
33,33,Sunshine Gardens,2231.03200313,286539.196272
34,34,Downtown,5300.74031122,819236.705697
35,35,Plat,5551.38100301,1596401.42536
36,36,Waterloo Row,4260.4824176,580635.902834
37,37,University Of New Brunswick,4480.4638825,704763.571384
38,38,Saint Thomas University,1341.53848359,84813.1585371
39,39,College Hill,2713.25681438,366787.072079
40,40,The Hill,4934.90816819,1637149.57407
41,41,Forest Hill,4422.20867525,396040.144448
42,42,Skyline Acrea,4894.6600222,1457510.08761
43,43,Poet's Hill,3084.11023205,297020.728058
44,44,Dun's Crossing,2921.9462597,363543.278323
45,45,Southwood Park,4373.82433602,1218398.04181
46,46,Lincoln Heights,4505.67782174,1092461.28829
47,47,Lincoln,16262.123239,2991148.80176
48,48,Colonial heights,2634.83106116,376885.486954
49,49,Garden Place,1752.0028392,188610.45304
50,50,Fredericton South,4568.26658133,757933.45908
51,51,The Hugh John Flemming Forestry Center,1873.84703075,220718.97088
52,52,Knowledge Park,2278.55095822,161915.542405
53,53,Diamond Street,1830.13723712,189710.616267
54,54,Grasse Circle,1001.27160943,60932.0594719
55,55,Brookside Estates,3579.56546475,844914.216168
56,56,Williams / Hawkins Area,4511.80507628,765561.875386
57,57,McKnight,2360.84776661,287956.281478
58,58,Shadowood Estates,2019.76050032,221309.467757
59,59,North Devon,6189.68626352,1237956.81886
60,60,North Devon,6481.39428067,2042885.37497
61,61,Wesbett / Case,2368.57972978,365925.34334
62,62,Serenity Lane,4458.1422292,1040005.91599
63,63,Monteith / Talisman,3159.16045727,342298.210575
64,64,Rail Side,1776.73773573,184444.594346
65,65,Silverwood,3710.75163033,728565.662449
66,66,Prospect,4785.54112122,972902.818576
67,67,Lian / Valcore,2588.35025227,411197.956244
68,68,North Devon,3030.59174155,547067.275361
69,69,Hanwell North,4301.43474047,747251.444818
70,70,Doak Road,6350.66138704,2560130.17604
71,71,Montogomery / Prospect East,3481.33285149,678251.042618
72,72,Fredericton South,7722.47934605,2504066.94395
73,73,Fredericton South,11148.1991774,2227689.30473
74,74,Woodstock Road,4240.39914906,439763.932543
