Aug	Sunrise	Sunset	Length	Difference	Start	End	Start	End	Start	End	Time	Mil. km
1	6:08 am ? (63°)	8:56 pm ? (297°)	14:47:21	-2:28	3:58 am	11:05 pm	4:50 am	10:14 pm	5:34 am	9:30 pm	1:32 pm (62.0°)	151.847
2	6:10 am ? (63°)	8:54 pm ? (297°)	14:44:51	-2:30	4:00 am	11:03 pm	4:51 am	10:12 pm	5:35 am	9:29 pm	1:32 pm (61.8°)	151.828
3	6:11 am ? (63°)	8:53 pm ? (296°)	14:42:18	-2:32	4:02 am	11:01 pm	4:53 am	10:10 pm	5:36 am	9:27 pm	1:32 pm (61.5°)	151.808
4	6:12 am ? (64°)	8:52 pm ? (296°)	14:39:43	-2:34	4:04 am	10:58 pm	4:55 am	10:09 pm	5:38 am	9:26 pm	1:32 pm (61.2°)	151.787
5	6:13 am ? (64°)	8:50 pm ? (296°)	14:37:07	-2:36	4:07 am	10:56 pm	4:56 am	10:07 pm	5:39 am	9:24 pm	1:32 pm (61.0°)	151.765
6	6:14 am ? (65°)	8:49 pm ? (295°)	14:34:28	-2:38	4:09 am	10:54 pm	4:58 am	10:05 pm	5:40 am	9:23 pm	1:32 pm (60.7°)	151.742
7	6:16 am ? (65°)	8:47 pm ? (295°)	14:31:48	-2:40	4:11 am	10:51 pm	4:59 am	10:03 pm	5:42 am	9:21 pm	1:32 pm (60.4°)	151.719
8	6:17 am ? (65°)	8:46 pm ? (294°)	14:29:06	-2:41	4:13 am	10:49 pm	5:01 am	10:01 pm	5:43 am	9:19 pm	1:32 pm (60.1°)	151.695
9	6:18 am ? (66°)	8:44 pm ? (294°)	14:26:23	-2:43	4:15 am	10:47 pm	5:03 am	9:59 pm	5:45 am	9:18 pm	1:32 pm (59.8°)	151.671
10	6:19 am ? (66°)	8:43 pm ? (293°)	14:23:38	-2:45	4:17 am	10:44 pm	5:04 am	9:57 pm	5:46 am	9:16 pm	1:31 pm (59.5°)	151.646
11	6:20 am ? (67°)	8:41 pm ? (293°)	14:20:51	-2:46	4:19 am	10:42 pm	5:06 am	9:56 pm	5:47 am	9:14 pm	1:31 pm (59.3°)	151.621
12	6:22 am ? (67°)	8:40 pm ? (293°)	14:18:03	-2:48	4:21 am	10:40 pm	5:07 am	9:54 pm	5:49 am	9:13 pm	1:31 pm (59.0°)	151.595
13	6:23 am ? (68°)	8:38 pm ? (292°)	14:15:14	-2:49	4:23 am	10:37 pm	5:09 am	9:52 pm	5:50 am	9:11 pm	1:31 pm (58.7°)	151.569
14	6:24 am ? (68°)	8:37 pm ? (292°)	14:12:23	-2:50	4:25 am	10:35 pm	5:11 am	9:50 pm	5:51 am	9:09 pm	1:31 pm (58.3°)	151.542
15	6:25 am ? (69°)	8:35 pm ? (291°)	14:09:31	-2:52	4:27 am	10:33 pm	5:12 am	9:48 pm	5:53 am	9:07 pm	1:31 pm (58.0°)	151.515
16	6:27 am ? (69°)	8:33 pm ? (291°)	14:06:37	-2:53	4:29 am	10:30 pm	5:14 am	9:46 pm	5:54 am	9:06 pm	1:30 pm (57.7°)	151.488
17	6:28 am ? (70°)	8:32 pm ? (290°)	14:03:43	-2:54	4:31 am	10:28 pm	5:15 am	9:44 pm	5:55 am	9:04 pm	1:30 pm (57.4°)	151.460
18	6:29 am ? (70°)	8:30 pm ? (290°)	14:00:47	-2:55	4:33 am	10:25 pm	5:17 am	9:42 pm	5:57 am	9:02 pm	1:30 pm (57.1°)	151.432
