date,sunrise,sunset
1-Jul-19,5:39 am,9:20 pm
2-Jul-19,5:40 am,9:20 pm
3-Jul-19,5:41 am,9:20 pm
4-Jul-19,5:41 am,9:20 pm
5-Jul-19,5:42 am,9:19 pm
6-Jul-19,5:43 am,9:19 pm
7-Jul-19,5:43 am,9:18 pm
8-Jul-19,5:44 am,9:18 pm
9-Jul-19,5:45 am,9:17 pm
10-Jul-19,5:46 am,9:17 pm
11-Jul-19,5:46 am,9:16 pm
12-Jul-19,5:47 am,9:16 pm
13-Jul-19,5:48 am,9:15 pm
14-Jul-19,5:49 am,9:14 pm
15-Jul-19,5:50 am,9:14 pm
16-Jul-19,5:51 am,9:13 pm
17-Jul-19,5:52 am,9:12 pm
18-Jul-19,5:53 am,9:11 pm
19-Jul-19,5:54 am,9:10 pm
20-Jul-19,5:55 am,9:09 pm
21-Jul-19,5:56 am,9:08 pm
22-Jul-19,5:57 am,9:07 pm
23-Jul-19,5:58 am,9:06 pm
24-Jul-19,5:59 am,9:05 pm
25-Jul-19,6:00 am,9:04 pm
26-Jul-19,6:01 am,9:03 pm
27-Jul-19,6:03 am,9:02 pm
28-Jul-19,6:04 am,9:01 pm
29-Jul-19,6:05 am,9:00 pm
30-Jul-19,6:06 am,8:58 pm
31-Jul-19,6:07 am,8:57 pm
