date,time
1-Jul-19,5:39 AM
2-Jul-19,5:40 AM
3-Jul-19,5:41 AM
4-Jul-19,5:41 AM
5-Jul-19,5:42 AM
6-Jul-19,5:43 AM
7-Jul-19,5:43 AM
8-Jul-19,5:44 AM
9-Jul-19,5:45 AM
10-Jul-19,5:46 AM
11-Jul-19,5:46 AM
12-Jul-19,5:47 AM
13-Jul-19,5:48 AM
14-Jul-19,5:49 AM
15-Jul-19,5:50 AM
16-Jul-19,5:51 AM
17-Jul-19,5:52 AM
18-Jul-19,5:53 AM
19-Jul-19,5:54 AM
20-Jul-19,5:55 AM
21-Jul-19,5:56 AM
22-Jul-19,5:57 AM
23-Jul-19,5:58 AM
24-Jul-19,5:59 AM
25-Jul-19,6:00 AM
26-Jul-19,6:01 AM
27-Jul-19,6:03 AM
28-Jul-19,6:04 AM
29-Jul-19,6:05 AM
30-Jul-19,6:06 AM
31-Jul-19,6:07 AM
